COD_VENDEDOR,COD_PRODUTO,QUANTIDADE,DATA,VALOR_TOTAL,COD_LOJA
1,1,7,2023-01-01,679.7437241085422,2
1,2,4,2023-01-01,204.9387003468908,2
2,1,6,2023-01-01,582.6374778073218,3
2,2,1,2023-01-01,51.2346750867227,3
3,1,2,2023-01-01,194.21249260244062,4
3,2,8,2023-01-01,409.8774006937816,4
4,1,6,2023-01-01,582.6374778073218,5
4,2,4,2023-01-01,204.9387003468908,5
5,1,3,2023-01-01,291.3187389036609,1
5,2,8,2023-01-01,409.8774006937816,1
6,1,6,2023-01-01,582.6374778073218,2
6,2,2,2023-01-01,102.4693501734454,2
7,1,1,2023-01-01,97.10624630122031,1
7,2,8,2023-01-01,409.8774006937816,1
8,1,7,2023-01-01,679.7437241085422,5
8,2,9,2023-01-01,461.1120757805043,5
9,1,9,2023-01-01,873.9562167109827,4
9,2,7,2023-01-01,358.64272560705894,4
10,1,4,2023-01-01,388.42498520488124,4
10,2,2,2023-01-01,102.4693501734454,4
1,1,1,2023-01-02,97.10624630122031,2
1,2,7,2023-01-02,358.64272560705894,2
2,1,1,2023-01-02,97.10624630122031,3
2,2,2,2023-01-02,102.4693501734454,3
3,1,4,2023-01-02,388.42498520488124,4
3,2,10,2023-01-02,512.346750867227,4
4,1,6,2023-01-02,582.6374778073218,5
4,2,5,2023-01-02,256.1733754336135,5
5,1,9,2023-01-02,873.9562167109827,1
5,2,10,2023-01-02,512.346750867227,1
6,1,10,2023-01-02,971.0624630122031,2
6,2,8,2023-01-02,409.8774006937816,2
7,1,4,2023-01-02,388.42498520488124,1
7,2,1,2023-01-02,51.2346750867227,1
8,1,4,2023-01-02,388.42498520488124,5
8,2,1,2023-01-02,51.2346750867227,5
9,1,9,2023-01-02,873.9562167109827,4
9,2,8,2023-01-02,409.8774006937816,4
10,1,3,2023-01-02,291.3187389036609,4
10,2,6,2023-01-02,307.40805052033625,4
1,1,8,2023-01-03,776.8499704097625,2
1,2,2,2023-01-03,102.4693501734454,2
2,1,10,2023-01-03,971.0624630122031,3
2,2,10,2023-01-03,512.346750867227,3
3,1,9,2023-01-03,873.9562167109827,4
3,2,6,2023-01-03,307.40805052033625,4
4,1,4,2023-01-03,388.42498520488124,5
4,2,2,2023-01-03,102.4693501734454,5
5,1,10,2023-01-03,971.0624630122031,1
5,2,6,2023-01-03,307.40805052033625,1
6,1,6,2023-01-03,582.6374778073218,2
6,2,7,2023-01-03,358.64272560705894,2
7,1,4,2023-01-03,388.42498520488124,1
7,2,3,2023-01-03,153.70402526016812,1
8,1,10,2023-01-03,971.0624630122031,5
8,2,10,2023-01-03,512.346750867227,5
